username,currency,prize
hdgas627,EN,6348
you37924,ID,6115
123213dqda,ID,5674
jads622,ID,5297
edwuwis51,ID,5155
ff13355120312,EN,4673
nicke331kl,ID,3653
dskc20,ID,3434
kaiy231,EN,3177
asdk386,ID,2727
wjb12327,EN,2726
dsa9761,EN,2725
dwq0961,ID,2551
kaiple123,EN,2501
aattyysjw,EN,2467
1126896,ID,2357
k09209009,ID,2021
icemickeydanix,ID,1871
kkge556688,ID,1809
ybb644,ID,1319
muyun,EN,1245
lei5868,ID,1130
sncd911,ID,1088
mk1017,ID,1018
flowerlet,EN,1000
weiy112233,ID,981
liuyanfeng16465,EN,816
jhs930825,ID,800
liutao2203043,ID,790
qq445165598,ID,657
Vimaber,ID,646
wutao,ID,589
Wiwi321,ID,581
1289801611l,ID,562
meng5928,ID,503
88bet188,ID,478
xiyo79725,EN,467
gmcwin,ID,447
aubrey,ID,370
wangyibing110,ID,358
qydsb888,ID,351
Kalis,ID,338
QIMENGWJ,ID,337
penggg123,ID,306
yaya332222,ID,291
mgm141319,ID,278
wxhrb110,EN,266
qq372744401,ID,259
qin1987616,ID,252
ytrewq123456,ID,246
FIFAWORLD1,ID,223
ms741126,ID,220
cjx7911,ID,217
panyuan111,ID,213
asd8850,ID,203
xiaojiahui,ID,201
1592587,ID,199
gongqr,ID,193
wzm616,ID,189
zhoumingjia,ID,189
liuhongbo,ID,170
lin2431,ID,157
allon,ID,155
msybwl,ID,149
Robert3627,ID,137
clsnino,ID,133
ll797979,ID,131
klsy,ID,126
handinghui,ID,115
chenyl,ID,112
chenwarong668,ID,112
lsr1989ja,ID,108
qqyz203,ID,101
aaa67890024,ID,91
lancxm,ID,89
wcc1234567,ID,86
xingyu718,ID,80
ironman523,ID,79
285818407,ID,75
nakatayi0706,ID,73
lzx119,ID,72
zhangdaming,ID,68
jason0506,ID,68
cuve0226,ID,64
yuzhiyuan666,ID,61
saga310,ID,55
842146188,ID,54
sangsangxzm,ID,54
fspanghzz,ID,54
3112855,ID,54
LONGYINGDE,ID,53
liutao321,ID,53
llhh900,ID,53
gz162273888,ID,52
bull1950,ID,52
thx777,ID,52
xiangyu12,ID,49
175898512yp,ID,49
selby2828,ID,48
cnrjlb,ID,48
daqiushen,ID,48
sprewilliams,ID,45
gerrardjqz,ID,45
yifengzhilang,ID,44
upkugua,ID,44
wuwenyi198171,ID,41
KIDD356,ID,38
mmc888,ID,38
lyfhuiga,ID,36
ali529,ID,36
19566026616,ID,36
xiaofen334,ID,35
felixtan007,ID,34
Hyiki,ID,34
tv1415666,ID,33
zx64666,ID,32
wwx372100,ID,32
zq15218844701,ID,31
yearwang,ID,31
mark84,ID,29
plb162795,ID,29
bszq8,ID,28
only1818,ID,27
chenchen63,ID,27
qq113380241,ID,25
wei880818,ID,25
aukai1983,ID,25
dongxiaolei,ID,23
mohanshen,ID,22
chenronghua,ID,19
guidefanss,ID,19
wangwwyy,ID,18
cxz666,ID,17
qq102395501,ID,17
qfgrxx,ID,16
xiaomanye,ID,16
asunmov,ID,15
tbl899,ID,14
cjj18210069901,ID,12
ymz88888,ID,12
2078020780,ID,11
ytsnjzhq177,ID,11
fieldtian,ID,10
hulang,ID,10
xiakezhu,ID,8
quwei668,ID,8
banyuan2002,ID,8
footplay,ID,8
600611,ID,7
zhangtian333,ID,7
thlj55,ID,7
li888888ke,ID,7
xcjj1126,ID,7
kukucici66,ID,6
hope123666,ID,6
bozai168,ID,4
chhappysky1314,ID,4
50054321,ID,4
corn52088888,ID,4
tyr2018,ID,3
fengxiang1979,ID,2
xiaofang9188,ID,2
pjb999,ID,2
hjylovess,ID,2
articlelau,ID,2
13710220099,ID,2
zxc890mm,ID,2
z112927,ID,2
jiayyy,ID,1
m88cpdanny,ID,1
kingsong888,ID,1
jing8852390,ID,0
lau666773,ID,0
chenhai123,ID,0
xzyo,ID,0
zxc777666,ID,0
motu2025,ID,0
